gen,TP,MO,SR,TP_o,MO_o,SR_o
8,6.2016,16,1.6958,0.34931209523809525,0.024823429232769315,0.33333333333333326
8,6.2389,16,9.4488,0.5824941587301588,0.020701416022276393,0.33333333333333337
8,7.0963,64,3.9259,0.5304166825396825,0.026036110456076206,0.0
8,7.0963,64,3.9259,0.5304166825396825,0.026036110456076206,0.0
8,6.6636,64,8.6901,0.6664744285714286,0.024933813751772504,0.0
8,7.1371,64,4.5726,0.5504653015873016,0.025854060456400228,0.0
8,7.2228,64,4.1096,0.537935619047619,0.02605444791534946,0.0
8,7.4043,64,2.8195,0.5021135714285714,0.026801550072907854,0.0
8,18.3439,64,4.8364,0.736265015873016,0.030041659275624875,0.0
8,18.3439,64,4.8364,0.736265015873016,0.030041659275624875,0.0
8,17.417,64,4.4808,0.7108843174603174,0.030058891525174224,0.0
8,17.1952,64,2.3651,0.6438926825396826,0.033105858533630884,0.0
9,7.1774,4,4.4968,0.3488309841269841,0.020783921668315327,0.6666666666666667
9,7.4726,4,4.3623,0.34948169841269844,0.022038516755488156,0.6666666666666666
9,7.1641,4,1.4998,0.258709873015873,0.033592438368822454,0.6666666666666666
9,7.1008,4,4.5739,0.3499281111111111,0.020394725732948555,0.6666666666666667
9,6.867661952972412,4,1.722224473953247,0.2606772414086357,0.029123083002729113,0.6666666666666667
9,7.4726,16,4.5739,0.4558296984126984,0.023835541917290606,0.33333333333333337
9,6.7561,16,1.7898,0.3609336825396825,0.026274558249331642,0.33333333333333337
9,6.6035,16,1.7898,0.3585114603174603,0.0258364808293372,0.33333333333333337
9,7.4726,16,4.3239,0.44832969841269843,0.024026561679602463,0.33333333333333337
9,7.1334,16,4.9733,0.4624275714285714,0.023118693087698525,0.33333333333333337
9,5.741329669952393,16,1.6931871175765991,0.3419278305106693,0.023177867098405844,0.33333333333333337
9,6.2016,16,1.6958,0.34931209523809525,0.024823429232769315,0.33333333333333326
9,6.2389,16,9.4488,0.5824941587301588,0.020701416022276393,0.33333333333333337
9,7.0303,64,3.9259,0.5293690634920635,0.02599109863806293,0.0
9,6.6636,64,8.6901,0.6664744285714286,0.024933813751772504,0.0
9,7.1371,64,4.5726,0.5504653015873016,0.025854060456400228,0.0
9,7.2228,64,4.1096,0.537935619047619,0.02605444791534946,0.0
9,7.4043,64,2.8195,0.5021135714285714,0.026801550072907854,0.0
9,7.2228,64,4.3142,0.544073619047619,0.025985901627395516,0.0
9,17.1952,64,2.3651,0.6438926825396826,0.033105858533630884,0.0
10,7.1774,4,4.4968,0.3488309841269841,0.020783921668315327,0.6666666666666667
10,7.4726,4,4.3623,0.34948169841269844,0.022038516755488156,0.6666666666666666
10,7.1641,4,1.4998,0.258709873015873,0.033592438368822454,0.6666666666666666
10,6.867661952972412,4,1.722224473953247,0.2606772414086357,0.029123083002729113,0.6666666666666667
10,6.7561,16,1.7898,0.3609336825396825,0.026274558249331642,0.33333333333333337
10,6.2064,16,1.7854,0.35207628571428573,0.024637003143587393,0.33333333333333337
10,6.6035,16,9.6323,0.5937864603174603,0.021060212591360462,0.33333333333333337
10,6.6031,16,8.6901,0.565514111111111,0.021230757125760603,0.33333333333333326
10,5.7237,16,1.6932,0.3416483809523809,0.023108261128271787,0.33333333333333337
10,5.874928951263428,16,2.5107581615448,0.36857558534258883,0.02255866386708049,0.33333333333333337
10,6.2389,16,1.618,0.34757015873015873,0.025140710085287715,0.33333333333333326
10,6.2389,16,9.4488,0.5824941587301588,0.020701416022276393,0.33333333333333337
10,6.7561,64,3.9665,0.5262346825396825,0.02578396777773539,0.0
10,6.6837,64,8.6901,0.6667934761904761,0.02494339136477462,0.0
10,7.0042,64,3.8775,0.5275027777777778,0.02599035494758012,0.0
10,6.6636,64,8.6901,0.6664744285714286,0.024933813751772504,0.0
10,6.638,64,1.7898,0.4590590793650794,0.02693680786424592,0.0
10,7.1371,64,4.5726,0.5504653015873016,0.025854060456400228,0.0
10,7.2268,64,1.7919,0.4684681111111111,0.027594251567337556,0.0
10,6.2511,64,2.3651,0.4701768095238095,0.0260228319324409,0.0
11,6.753,4,3.9619,0.3260474761904762,0.020128405726988378,0.6666666666666667
11,7.1641,4,1.4998,0.258709873015873,0.033592438368822454,0.6666666666666666
11,6.867661952972412,4,1.722224473953247,0.2606772414086357,0.029123083002729113,0.6666666666666667
11,6.7561,16,1.7898,0.3609336825396825,0.026274558249331642,0.33333333333333337
11,6.7452,16,8.6942,0.5678926666666666,0.02137904534697961,0.33333333333333326
11,6.6035,16,9.6323,0.5937864603174603,0.021060212591360462,0.33333333333333337
11,6.6035,16,9.6323,0.5937864603174603,0.021060212591360462,0.33333333333333337
11,6.6031,16,8.6901,0.565514111111111,0.021230757125760603,0.33333333333333326
11,5.7237,16,1.6932,0.3416483809523809,0.023108261128271787,0.33333333333333337
11,6.2389,16,1.618,0.34757015873015873,0.025140710085287715,0.33333333333333326
11,6.2389,16,9.4488,0.5824941587301588,0.020701416022276393,0.33333333333333337
11,6.7561,64,3.9665,0.5262346825396825,0.02578396777773539,0.0
11,6.865,64,1.7857,0.462539253968254,0.027205643623270326,0.0
11,6.6837,64,8.6901,0.6667934761904761,0.02494339136477462,0.0
11,7.0042,64,3.8775,0.5275027777777778,0.02599035494758012,0.0
11,6.9744,64,8.6454,0.6700667619047619,0.025081121957373845,0.0
11,6.638,64,1.8631,0.46125807936507934,0.026859283213501357,0.0
11,7.1058,64,4.5726,0.5499684761904762,0.025834746963475694,0.0
11,7.2268,64,1.7919,0.4684681111111111,0.027594251567337556,0.0
11,6.2511,64,2.3651,0.4701768095238095,0.0260228319324409,0.0
12,7.162,4,1.4998,0.2586765396825397,0.03357541920586178,0.6666666666666666
12,6.867661952972412,4,1.722224473953247,0.2606772414086357,0.029123083002729113,0.6666666666666667
12,6.7509,16,1.7883,0.36080614285714285,0.02626399243841312,0.33333333333333337
12,6.7452,16,8.6942,0.5678926666666666,0.02137904534697961,0.33333333333333326
12,6.6035,16,9.6323,0.5937864603174603,0.021060212591360462,0.33333333333333337
12,6.6035,16,9.6323,0.5937864603174603,0.021060212591360462,0.33333333333333337
12,5.7237,16,1.6932,0.3416483809523809,0.023108261128271787,0.33333333333333337
12,5.7237,16,1.6932,0.3416483809523809,0.023108261128271787,0.33333333333333337
12,6.2389,16,9.4488,0.5824941587301588,0.020701416022276393,0.33333333333333337
12,6.9744,64,8.6578,0.6704387619047619,0.025079866351895592,0.0
12,6.7561,64,3.9665,0.5262346825396825,0.02578396777773539,0.0
12,6.6837,64,8.6901,0.6667934761904761,0.02494339136477462,0.0
12,6.8699,64,1.7857,0.46261703174603175,0.02721120640466443,0.0
12,6.2389,64,9.4364,0.6821221587301587,0.024663015356381074,0.0
12,6.9713,64,9.5447,0.6969965555555555,0.024995430439805115,0.0
12,6.638,64,1.8631,0.46125807936507934,0.026859283213501357,0.0
12,7.1058,64,4.5726,0.5499684761904762,0.025834746963475694,0.0
